Index,Tweet,Polarity,Subjectivity
1,@thisisksa This is bcoz of fucker Doland trump,0.0,0.0
2,@Chris4Perkins2 Trump. Have you been sleeping for 8 months? Nobody’s listening to your tiresome ‘golf’ nonsense.,-0.5,1.0
3,@GuntherEagleman I would be embarrassed to be a “democratic strategist” when your party is one big bag of 💩💩💩!!! Go bury your head until you have an agenda other than Trump is bad dumb ass!,-0.32343749999999993,0.41041666666666665
4,"@ByronDonalds @POTUS @grok how would Byron Donalds respond if Donald Trump told him to ""make me a sandwich boy""?",0.0,0.0
5,Low IQ thug....clean it up Trump. https://t.co/nEjcVMQo79,0.0,0.3
6,"@Magmay13 @EricLDaugh Grok,,Fact-check: False. Trump's peak approval is 49%, far below George W. Bush's 92% and George H.W. Bush's 89%. Current ratings (Aug 2025) hover at 37-41% amid controversies, not the highest in Republican history.",-0.10000000000000002,0.6666666666666666
7,"@sashafrp Russians don't seem to be much smarter, either. I mean... what intelligent being would waste time on going to meet Trump? Somewhere really cold? For talks one simply can not trust? Putin's time would be better spent in some Judo gym.",0.0359375,0.4680803571428572
8,@curtcrookcoxne1 All you have to do is click on the Grok button in the comment to find out what fox news never told you about trump,0.0,0.0
9,"@MsJayequeen Trump can walk &amp; chew gum

Please explain to me how Bill Clinton was on that Island 28 times and you’re dumb enough to think Hillary paid for the Russian hoax rather than expose Trump/Epstein ties? 
Are you aware Trump is ONLY person in Palm Beach that helped authorities get",-0.025,0.45
10,@queenie4rmnola Racist police haven't felt this embolden to brutalize people of color since the days of Jim Crow segregation. Trump has given law enforcement officials all over the country the green light to return to the bad old days of police brutality. This doesn't bode well for the future.,-0.07999999999999996,0.3983333333333333
11,@Breaking911 Do I see another lawsuit win for Trump in the future....I hope so,0.8,0.4
12,"🇺🇸🤝🇷🇺-Washington has revealed the official U.S. delegation for the upcoming Trump Putin summit in Alaska, listing: 

President Donald Trump, Vice President JD Vance, Secretary of State Marco Rubio, Treasury Secretary Scott Bessent, and Special Envoy Steve Witkoff. https://t.co/Aso223fCSt",0.35714285714285715,0.5714285714285714
13,@PressSec We’re with you Trump! 💪🇺🇸👍!,0.0,0.0
14,"@WhiteHouse president Obama is a great American. He is loved, he is respected, he is wildly popular, and he’s living a wonderful life. Everything you touch Trump turns to shit. Even your wife doesn’t wanna fuck you. And that bastard son Barron he’s a freak of nature.",0.35714285714285715,0.6928571428571428
